iteration,train_loss,val_loss,aux_loss,load_balancing,z_loss,entropy_loss,learning_rate,elapsed_time,gpu_memory_gb
0,10.925474,10.918829,-0.304142,0.004860,0.861377,-7.902795,0.000000e+00,22.03,5.31
10000,5.057929,5.109445,-0.245354,0.003617,1.240341,-7.460115,4.942498e-04,1649.81,5.31
20000,4.840701,4.900580,-0.255146,0.003549,1.183624,-7.541146,6.000000e-05,3277.18,5.31
30000,4.906759,4.875437,-0.253845,0.003229,1.193467,-7.528420,6.000000e-05,4900.68,5.31
40000,4.885334,4.839489,-0.254225,0.002696,1.195045,-7.528518,6.000000e-05,6519.85,5.31
50000,4.932299,4.831308,-0.252619,0.003414,1.199672,-7.520008,6.000000e-05,8141.83,5.31
60000,4.790719,4.829556,-0.253052,0.003092,1.198551,-7.519971,6.000000e-05,9765.23,5.31
70000,4.742124,4.813224,-0.250942,0.002716,1.214798,-7.502753,6.000000e-05,11384.05,5.31
80000,4.681108,4.806704,-0.250740,0.004540,1.204123,-7.513837,6.000000e-05,13010.43,5.31
90000,4.927385,4.803177,-0.250110,0.003248,1.215329,-7.497809,6.000000e-05,14638.25,5.31
100000,4.626743,4.780806,-0.247771,0.002434,1.235461,-7.475022,6.000000e-05,16274.58,5.31
110000,4.752389,4.776296,-0.246819,0.003422,1.236589,-7.478006,6.000000e-05,17900.45,5.31
120000,4.673272,4.771158,-0.245354,0.002071,1.254729,-7.457954,6.000000e-05,19536.26,5.31
130000,4.813394,4.777410,-0.247010,0.002037,1.243712,-7.468365,6.000000e-05,21161.03,5.31
140000,4.746860,4.762640,-0.246557,0.003859,1.233699,-7.475716,6.000000e-05,22789.96,5.31
